0874479797,407,The Official SAT Study Guide with DVD,2012-01-03,College Board,318,Education & Teaching
0440212561,723,Outlander,1992-06-02,Dell,508,Literature & Fiction
1250056233,749,The Patriot Threat (Cotton Malone),2015-03-31,Minotaur Books,522,Literature & Fiction
1878424319,477,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),1997-11-07,Amber-Allen Publishing,382,"Health, Fitness & Dieting"
1439156816,93,On Writing: 10th Anniversary Edition: A Memoir of the Craft,2010-07-06,Scribner,88,Biographies & Memoirs
0374280304,87,Frank: A Life in Politics from the Great Society to Same-Sex Marriage,2015-03-17,"Farrar, Straus and Giroux",82,Biographies & Memoirs
0307952967,913,Q&A a Day for Kids: A Three-Year Journal,2012-09-25,Potter Style,600,Parenting & Relationships
0062352164,1477,"Divergent Series Ultimate Four-Book Box Set: Divergent, Insurgent, Allegiant, Four",2014-07-08,Katherine Tegen Books,802,Teen & Young Adult
1620408902,1033,Chasing the Scream: The First and Last Days of the War on Drugs,2015-01-20,Bloomsbury USA,650,Politics & Social Sciences
1455524190,841,The Burning Room (A Harry Bosch Novel),2015-03-17,Grand Central Publishing,560,"Mystery, Thriller & Suspense"
0451524934,658,1984 (Signet Classics),1961-01-01,Signet Classic,466,Humor & Entertainment
1583335277,246,The Oh She Glows Cookbook: Over 100 Vegan Recipes to Glow from the Inside Out,2014-03-04,Avery,210,"Cookbooks, Food & Wine"
0991299221,425,The PowerScore LSAT Logical Reasoning Bible,2014-11-01,PowerScore Publishing,338,Education & Teaching
0393247686,378,In Defense of a Liberal Education,2015-03-30,W. W. Norton & Company,324,Education & Teaching
0066620996,123,Good to Great: Why Some Companies Make the Leap...And Others Don't,2001-10-16,HarperBusiness,114,Business & Money
0385354282,851,"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",2015-09-01,Knopf,568,"Mystery, Thriller & Suspense"
159315724X,145,The Compound Effect,2012-10-02,Vanguard Press,133,Business & Money
0446580856,835,Radiant Angel (John Corey),2015-05-26,Grand Central Publishing,554,"Mystery, Thriller & Suspense"
1591847788,182,Hooked: How to Build Habit-Forming Products,2014-11-04,Portfolio,163,Business & Money
1416576576,33,God's Bankers: A History of Money and Power at the Vatican,2015-02-03,Simon & Schuster,31,Biographies & Memoirs
1438005008,1229,"Barron's AP Biology, 5th Edition",2015-01-01,Barron's Educational Series,715,Science & Math
0937877557,1442,Guide to Free Campgrounds: Includes Campgrounds $12 and Under in the United States (Don Wright's Guide to Free Campgrounds),2014-04-15,Cottage Publications,775,Sports & Outdoors
0316769487,753,The Catcher in the Rye,1991-05-01,"Little, Brown and Company",526,Literature & Fiction
1591451884,206,Jesus Calling: Enjoying Peace in His Presence,2004-10-12,Thomas Nelson,181,Christian Books & Bibles
9781617750250,656,Go the F**k to Sleep,2011-06-14,Akashic Books,465,Humor & Entertainment
076118564X,654,Toddlers Are A**holes: It's Not Your Fault,2015-04-07,Workman Publishing Company,464,Humor & Entertainment
1572248831,961,"Don't Let Your Emotions Run Your Life for Teens: Dialectical Behavior Therapy Skills for Helping You Manage Mood Swings, Control Angry Outbursts, and ... with Others (Instant Help Book for Teens)",2011-03-01,Instant Help,630,Parenting & Relationships
0671646788,928,The Magic of Thinking Big,1987-04-02,Fireside,612,Parenting & Relationships
1439159866,1466,The Emerald Mile: The Epic Story of the Fastest Ride in History Through the Heart of the Grand Canyon,2014-07-01,Scribner,794,Sports & Outdoors
0671631985,385,Teach Your Child to Read in 100 Easy Lessons,1986-06-15,Touchstone,327,Education & Teaching
